time,cbh (m) (Cloud base height),d2m (K) (2 metre dewpoint temperature),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),t2m (°C) (2 metre temperature),d2m (°C) (2 metre dewpoint temperature),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance)
2020-01-01 06:00:00,1435.7018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01 06:00:00,1311.8428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01 06:00:00,1437.6151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01 06:00:00,1607.1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01 06:00:00,2358.2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01 06:00:00,2734.7112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01 06:00:00,2874.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01 06:00:00,3090.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01 06:00:00,3541.8772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01 06:00:00,2678.8413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01 06:00:00,2117.7698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01 06:00:00,1796.9806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 06:00:00,1667.7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 06:00:00,1360.0194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01 06:00:00,1691.6049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01 06:00:00,1958.2053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 06:00:00,2882.4707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01 06:00:00,2844.0728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01 06:00:00,3428.0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 06:00:00,3759.2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
