time,cbh (m) (Cloud base height),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance)
2020-01-01 06:00:00,1213.4952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01 06:00:00,1149.3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01 06:00:00,1049.2352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01 06:00:00,1092.7567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01 06:00:00,766.8206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01 06:00:00,773.14386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01 06:00:00,717.7381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01 06:00:00,1342.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01 06:00:00,1135.0691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01 06:00:00,1440.9402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01 06:00:00,1225.9121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01 06:00:00,920.6567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 06:00:00,1047.1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 06:00:00,1096.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01 06:00:00,916.28937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01 06:00:00,798.5567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 06:00:00,779.5464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01 06:00:00,665.85645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01 06:00:00,924.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 06:00:00,1252.4857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01 06:00:00,1213.2415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01 06:00:00,1175.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01 06:00:00,1110.7653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01 06:00:00,1059.9247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
