time,cbh (m) (Cloud base height),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance)
2020-01-01 06:00:00,1643.6683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01 06:00:00,1679.8252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01 06:00:00,1363.3827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01 06:00:00,1016.3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01 06:00:00,700.4081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01 06:00:00,867.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01 06:00:00,1041.3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01 06:00:00,1828.8542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01 06:00:00,1797.5944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01 06:00:00,1891.6125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01 06:00:00,1108.8054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01 06:00:00,1146.9492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 06:00:00,1028.4509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 06:00:00,1354.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01 06:00:00,1116.2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01 06:00:00,907.71313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 06:00:00,857.14166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01 06:00:00,825.5184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01 06:00:00,1064.4244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 06:00:00,1436.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
