mes,cbh (m) (Cloud base height),d2m (K) (2 metre dewpoint temperature),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),t2m (°C) (2 metre temperature),d2m (°C) (2 metre dewpoint temperature),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance),ano
1,825.5968781818182,295.61219090909094,297.49337363636363,0.7946425936363636,0.37070717999999997,0.4202607618181818,0.9001020745454545,50.519873636363634,50.20442018181818,0.009962218481818181,-4.032799527272727e-05,92.57607809090909,275.7486290909091,411.9346636363636,392.42837545454546,183.5610872727273,318.37494636363635,23.221659727272726,100.85212081818182,30.717791545454546,-49.61649227272728,-153.81461727272728,268.1909227272727,22.89387109090909,447.82613636363635,205.6960918181818,-268.23855,-265.4057445454545,377.3471190909091,0.00011530280727272726,-6.730326945454546e-05,298.8665572727273,288.2570218141402,24.34338090909091,22.462196909090906,59.709650545454544,247.7637160876554,-0.6491664563636363,1995.0
2,832.1117845454545,295.5804090909091,297.4984054545455,0.7991556318181818,0.3658351127272727,0.4105208654545454,0.9039518218181818,50.71231045454545,50.40261027272727,0.009790626454545455,-4.055705072727273e-05,93.55704318181819,280.0010454545455,412.2629963636364,393.02874727272723,185.74322272727272,321.11263636363634,23.553310636363634,101.42483581818182,30.795427181818184,-49.417016545454544,-156.20583909090908,271.5005518181818,24.381324545454547,449.0258254545455,205.66975636363634,-268.51313636363636,-268.07330181818185,379.9608990909091,0.00011331691509090909,-6.732995245454545e-05,293.7187909090909,283.2922919796229,24.348410727272725,22.430417181818182,62.40354836363636,244.6667530669365,-0.39574848554545455,1995.0
3,759.1963863636364,295.7089163636364,297.5469463636364,0.7791622954545455,0.39658059636363635,0.39458958272727274,0.89055827,51.18360863636363,50.884674999999994,0.0095616695,-4.0233801454545456e-05,91.02427127272728,271.17841636363636,413.0906918181818,393.85051636363636,180.65279545454544,311.0472281818182,22.924713727272728,100.61647490909091,30.017839090909092,-48.63894472727273,-152.97899363636364,264.8176181818182,22.722308636363636,435.4255872727272,208.6329718181818,-269.6200490909091,-261.8568427272727,370.0127918181818,0.0001106669830909091,-6.268335754545454e-05,286.85008,276.6674548514526,24.39695045454545,22.558924,53.223870000000005,229.65247939035973,-0.37763006363636364,1995.0
4,711.6353581818182,295.9300881818182,297.85786545454545,0.6746057436363636,0.3984523727272727,0.3110063790909091,0.8260332936363636,49.71814781818182,49.49951318181818,0.007154337336363637,-4.124470863636364e-05,103.22153454545455,247.00910909090908,412.3661690909091,394.8511118181818,182.88577545454544,286.0255418181818,22.847579090909093,103.14450190909092,31.733728818181817,-48.72555918181818,-156.76086727272727,246.12020272727275,21.91340090909091,404.4286581818182,227.4220890909091,-273.85907909090906,-258.5046590909091,344.7189990909091,8.280410118181819e-05,-3.268898209090909e-05,214.6301209090909,207.01025360639588,24.707871727272728,22.780095818181817,31.08256972727273,134.97908752973572,-0.03076518545454543,1995.0
5,1100.5572527272727,295.45185545454547,298.05728636363636,0.5041909754545455,0.28297005000000003,0.2467560509090909,0.6718923581818181,44.93592081818181,44.78600781818182,0.004157017409090909,-4.086561690909091e-05,118.64218718181819,211.44875000000002,405.20400181818184,391.2683563636363,185.49820818181817,254.12195272727274,22.25836009090909,102.196425,38.71530872727273,-52.190313090909086,-160.1655,219.81494363636364,19.429181363636363,369.34786,249.2059472727273,-279.47675636363635,-254.20921636363636,312.7479190909091,4.8112873090909096e-05,4.503680872727273e-06,124.71052272727273,120.28218241704798,24.907293181818183,22.301860545454545,5.003270901909091,23.264440606856212,-0.17541226318181818,1995.0
6,1936.9586363636365,293.25569818181816,298.5800509090909,0.23357732636363637,0.09558371554545454,0.1826576972727273,0.4030845209090909,36.08501727272728,36.019825818181815,0.0007769054581818182,-3.7974859545454546e-05,146.86584545454545,191.01933,391.8108418181818,382.75271727272724,202.6975518181818,236.92668090909092,23.253433,94.96752018181819,54.04888463636364,-62.64191945454545,-175.0566481818182,204.62513636363636,25.623507909090907,349.82282272727275,278.15846000000005,-287.61448181818184,-263.63900727272727,293.1939763636364,8.990908045454545e-06,4.0552796636363634e-05,23.30716348181818,22.477269913617253,25.43005627272727,20.105707454545453,-14.519452045454546,-87.42643741725988,0.4167376518181818,1995.0
7,2221.4478272727274,291.1300181818182,298.83995727272725,0.15542564190909092,0.06311977054545455,0.1980212909090909,0.34278857272727276,32.08436390909091,32.02516090909091,0.0006230471718181818,-3.355195381818182e-05,155.73024909090907,198.67431181818182,385.8271972727273,376.2296518181818,212.41547363636363,245.31326636363636,24.25346018181818,83.90659036363637,62.08877181818182,-71.164717,-183.24315545454544,211.6072390909091,36.19415881818182,357.54511181818185,281.25748727272725,-290.30522636363634,-271.0810590909091,299.63024,7.210914633636363e-06,3.6553507181818184e-05,18.691415154545453,18.027286666272797,25.689960909090907,17.980024818181818,-10.1764277,-77.10936549992039,1.0536332536363635,1995.0
8,2477.1493545454546,291.2601627272727,299.91507272727273,0.17437493754545452,0.04254773154545455,0.20570979272727274,0.35780064818181817,32.50668736363636,32.438053181818184,0.0005608505299090909,-3.3338401818181814e-05,166.4588709090909,213.91682090909092,391.07583363636365,381.4443163636364,228.71278,265.8643990909091,26.190473545454548,83.37234218181818,64.04728390909091,-73.2060289090909,-196.01544909090907,227.84145545454547,46.37406363636364,387.0269263636364,279.49353454545457,-291.1926218181818,-291.5637509090909,323.96486636363636,6.49114973e-06,3.610422254545454e-05,16.825515963636363,16.22787447530527,26.76508118181818,18.11016836363636,12.070218172727273,-57.29601038464679,2.221759090909091,1995.0
9,1972.9144909090908,293.89690545454545,299.88400181818184,0.3783120327272727,0.11432560490909091,0.20602738454545452,0.5306207272727274,39.832570727272724,39.71443263636364,0.002381487732727273,-3.849042281818182e-05,168.13835636363635,239.35512636363637,403.7565,393.73397727272726,236.93231636363635,291.5545918181818,27.90789609090909,96.25673400000001,53.61995190909091,-63.335812363636364,-199.90218272727273,246.07842363636362,48.837225181818184,419.7717963636364,261.91773727272727,-285.2416263636364,-304.8756118181818,351.08811,2.7563450536363635e-05,1.7738988336363635e-05,71.44463263636364,68.90862592130857,26.734008636363637,20.746909545454546,42.95787290909091,14.421495322720148,1.1882698636363636,1995.0
10,1600.361409090909,295.34672545454544,299.3172154545454,0.5395384872727272,0.16978659818181818,0.21142495000000003,0.6612507909090909,43.847730909090906,43.69891718181818,0.004046777299999999,-4.4980450454545456e-05,165.21984545454546,262.4513145454546,408.28121363636365,397.1039645454546,240.98421818181816,310.97211363636364,29.122165818181816,112.48685445454545,46.488246545454544,-57.45211381818182,-201.94926272727272,260.9544481818182,42.57052627272727,440.40349363636363,244.38432818181818,-280.67197,-310.9060409090909,369.0873109090909,4.6836746181818174e-05,1.8590833127e-06,121.4033188181818,117.09186517030254,26.167222272727273,22.196730181818182,66.5217140909091,70.72309075624004,0.4036352036363636,1995.0
11,1224.006650909091,295.7480163636364,298.4135309090909,0.75124326,0.25328535999999996,0.29885741909090907,0.8349114481818183,48.24123836363637,48.016945727272734,0.007176555254545454,-4.427464254545455e-05,125.91996236363637,267.16648636363635,411.04483,396.0564527272727,213.0837027272727,314.0660718181818,26.273869,110.721725,37.94744381818182,-52.557371909090904,-178.14779272727273,263.51168,30.082317999999997,445.41282181818184,215.67951454545454,-272.9847245454546,-289.36893545454546,373.6178663636363,8.306132109090909e-05,-3.662597436363637e-05,215.29665181818183,207.65330356715077,25.263538545454548,22.598022545454544,73.68942172727272,171.2246947595003,-0.6036959445454545,1995.0
12,1080.120920909091,295.8061290909091,297.93964363636366,0.7800569663636363,0.2883412345454545,0.38682615818181815,0.8751273181818181,49.87442390909091,49.597347090909096,0.00835535040909091,-4.206074254545455e-05,106.7687559090909,268.9878490909091,411.78980727272733,394.68215999999995,194.84904545454546,313.80440636363636,24.31181318181818,105.18528918181819,33.88494690909091,-50.50900709090909,-163.0223972727273,263.7320018181818,24.659092272727275,444.5772890909091,209.66034272727273,-270.0744390909091,-273.75482090909094,373.4234581818182,9.670519136363637e-05,-4.8473875909090906e-05,250.66051090909093,241.76297797980212,24.789648,22.656136,64.094475,201.37909528382377,-0.7069327705636363,1995.0
