mes,cbh (m) (Cloud base height),d2m (K) (2 metre dewpoint temperature),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),t2m (°C) (2 metre temperature),d2m (°C) (2 metre dewpoint temperature),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance),ano
1,798.183666,295.633624,297.517848,0.804556554,0.368031886,0.430263846,0.9056164179999999,50.57812679999999,50.2626314,0.0102095072,-4.05075792e-05,92.42464079999999,279.185574,411.94468800000004,392.298084,183.751486,319.261152,23.280277,101.30116960000001,30.6940408,-49.7225362,-154.00866200000002,269.022824,23.0384848,447.82031399999994,205.01825,-267.972286,-265.77432600000003,378.39678599999996,0.00011816490400000002,-6.86182532e-05,306.285226,295.41226467699744,24.3678528,22.4836302,60.7560732,255.89220127672888,-1.02503358,1998.0
2,829.510454,295.690648,297.765166,0.756593768,0.35485056000000004,0.366607416,0.8814233039999999,50.0932374,49.830619,0.0087257258,-4.26155404e-05,105.8099,283.576286,412.09179800000004,393.86152000000004,196.91756800000002,322.189484,24.8457252,106.57272900000001,32.4072294,-50.0475564,-165.691094,272.481824,27.062283,449.01494,213.70260199999998,-270.01809000000003,-277.64160000000004,380.870634,0.0001009909652,-5.1440512600000006e-05,261.771774,252.47741723433137,24.6151732,22.5406556,63.939002,210.19483666792513,-0.3511459372,1998.0
3,711.1572319999999,295.74651400000005,297.51362600000004,0.789449902,0.41125093599999996,0.42272151,0.901142872,51.7656972,51.441432,0.010343419500000001,-3.9628106e-05,87.7846,273.7978,413.609606,393.86701600000004,175.896572,311.515056,22.3563602,99.101711,28.984604,-48.079482,-148.98567,265.29847,21.6581962,435.34581,207.104682,-269.139938,-258.093596,370.84625800000003,0.0001197145088,-7.15031982e-05,310.30259,299.28626827313565,24.363629,22.596521,50.9889098,251.93231166913174,-0.758845522,1998.0
4,692.84128,295.94977200000005,297.888066,0.67693888,0.408063148,0.329607576,0.829094854,49.7646022,49.5298388,0.00726697156,-4.05678164e-05,100.23085599999999,249.295566,412.669916,394.561936,179.570768,286.526166,22.49414,101.45159720000001,31.167086,-48.712568399999995,-153.90155199999998,246.60264,21.6863912,404.301684,225.78420599999998,-273.524636,-255.70344799999998,345.364554,8.41079938e-05,-3.34818342e-05,218.00914400000002,210.2699854731327,24.738073800000002,22.7997742,29.9192384,139.1411539911991,-0.4035247719999999,1998.0
5,1241.7431000000001,295.275844,298.11129999999997,0.538433632,0.273033606,0.26255499800000004,0.689738764,44.1559356,44.0029538,0.00396647552,-4.0970639e-05,120.43555999999998,213.889176,403.7061,389.688814,186.30419799999999,255.032944,22.357586599999998,102.459051,39.8097966,-53.3399364,-160.862478,220.62691,19.039369999999998,369.23958400000004,247.92436600000002,-279.53292799999997,-254.47156999999999,313.29737,4.5907376e-05,1.00610348e-05,118.9942648,114.76843974378426,24.9613036,22.125848400000002,6.54720762,19.30233409192879,-0.44573517,1998.0
6,2023.9578000000001,292.93592,298.760532,0.20845146999999997,0.0852923746,0.180866952,0.37734934400000003,34.9606352,34.9010324,0.000622519678,-3.7100751200000005e-05,150.552418,193.62464,390.216002,381.51810800000004,204.858036,238.029108,23.470072800000004,92.78157300000001,56.266803800000005,-64.5082842,-176.931566,205.59655800000002,27.7317878,349.797228,281.040488,-289.421544,-265.16220000000004,293.832606,7.20441758e-06,4.29762478e-05,18.67558986,18.011043664500903,25.6105406,19.7859314,-15.878289599999999,-90.80022037358503,0.151402282,1998.0
7,2362.6440599999996,290.58212199999997,299.22398,0.170683359,0.0568468298,0.20945782,0.358879686,31.628305,31.567517599999995,0.000637455818,-3.12138734e-05,156.52836399999998,201.609266,386.045502,376.103602,212.537314,246.389708,24.2682324,78.0595,63.982845999999995,-73.357736,-183.363788,212.58276999999998,40.4032422,357.613998,280.70310800000004,-291.037566,-271.092254,300.566148,7.377973634e-06,3.3624077e-05,19.1236744,18.44493408498238,26.0739868,17.432129,-9.610852,-70.14361724558402,0.918199162,1998.0
8,2440.77042,291.083552,300.447656,0.16888098899999998,0.047249729000000004,0.229341814,0.374403056,33.3561144,33.2793568,0.000565723916,-2.96494342e-05,164.727556,216.69624400000004,394.596536,384.157694,225.765008,266.435182,25.958273000000002,74.1470328,63.9037114,-73.8077612,-193.551906,228.432836,53.41786979999999,387.139604,279.172994,-291.293128,-289.64188,325.240288,6.54757696e-06,3.4227666800000004e-05,16.97171758,16.36894262446731,27.2976622,17.9335568,10.468884460000002,-49.39249841557175,2.08329236,1998.0
9,2012.1610799999999,293.62624,300.470572,0.32346116599999997,0.1032791976,0.22160021200000002,0.49043753199999995,39.4141636,39.291730799999996,0.002084279712,-3.50084696e-05,173.26117,243.187462,405.62915200000003,395.66369199999997,238.561624,292.828918,28.093075399999996,87.549161,55.472956999999994,-65.0961774,-201.361524,247.23655399999998,57.348989,419.85985199999993,267.50748,-288.357716,-306.061654,352.265138,2.41238383e-05,1.931996744e-05,62.528391,60.309595937724225,27.320580999999997,20.4762452,38.5541744,10.32419173240196,0.9904189919999998,1998.0
10,1633.22012,295.24032,299.634444,0.536287902,0.17277266600000002,0.219730308,0.659295482,43.8701564,43.7186174,0.00412897726,-4.31574884e-05,165.259842,266.376456,409.254528,397.917434,240.123974,312.054882,29.106913400000003,107.928179,47.1691372,-58.249345000000005,-201.256002,261.959524,46.172211399999995,440.430738,244.848768,-281.466766,-310.38586,370.280664,4.77877542e-05,-7.8994691206e-07,123.869316,119.46938502660487,26.484447999999997,22.090325999999997,65.5370898,77.09182231298182,-0.013526916,1998.0
