time,cbh (m) (Cloud base height),d2m (K) (2 metre dewpoint temperature),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),t2m (°C) (2 metre temperature),d2m (°C) (2 metre dewpoint temperature),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance)
1990-01-01,977.56775,295.5492,297.59985,0.7382005,0.3265366,0.3516003,0.85362303,48.640865,48.374176,0.008279067,-4.2008698e-05,106.95945,280.4196,409.98746,391.9676,194.88318,320.19934,24.456633,105.05536,33.50325,-50.994976,-163.41223,269.78326,24.493668,447.9805,212.21266,-270.90936,-274.4951,378.473,9.5822375e-05,-4.9672963e-05,248.37201,239.55593860591762,24.44986,22.3992,62.282425,196.4230498119723,0.35995483
1990-02-01,798.484,295.56805,297.0923,0.8925258,0.39117563,0.46547985,0.95784533,52.37106,52.000523,0.011972092,-3.7589187e-05,70.00255,282.65732,413.95862,392.91547,167.12195,321.43552,21.578388,94.002625,27.545815,-47.954216,-140.39877,271.88562,19.637897,449.16864,186.94432,-266.154,-252.3583,381.18433,0.0001385662,-0.00010024819,359.16275,346.4155088295229,23.942291,22.41806,65.41399,318.61444147722796,-0.78756714
1990-03-01,922.27405,295.629,297.72733,0.7091994,0.361868,0.3373977,0.81954986,49.21001,48.969376,0.008126326,-4.1871004e-05,106.4187,274.7043,411.4887,394.00775,192.69862,312.6204,24.217068,104.710815,33.207363,-50.176636,-163.22842,266.17712,24.841381,435.6633,216.73955,-273.01038,-271.23016,370.85962,9.405691e-05,-4.7364727e-05,243.78976,235.1422699575778,24.577332,22.479004,54.490616,184.45320974639617,0.4688568
1990-04-01,906.3199,295.9406,298.18875,0.6782247,0.33595833,0.21251182,0.80429626,48.539726,48.37818,0.0054183668,-4.42837e-05,125.057365,250.74837,411.37524,396.88617,200.00426,287.50674,24.70093,110.74515,35.532402,-49.634354,-171.63873,247.45993,24.463423,404.72275,238.28072,-277.44702,-273.04276,345.84552,6.271304e-05,-1.7484876e-05,162.55101,156.782607518835,25.038757,22.790619,34.76204,79.90173288504593,0.89775085
1990-05-01,944.78644,295.58887,297.97858,0.4188454,0.28215605,0.19190553,0.6289634,44.6951,44.572895,0.003274338,-4.2182146e-05,127.70039,214.07823,406.31808,393.23154,191.31844,254.86049,22.964489,105.48844,38.623356,-51.330082,-165.3187,220.53027,21.296312,369.60608,260.1703,-281.42346,-260.17657,313.8957,3.789727e-05,1.0164244e-05,98.23014,94.7431726672221,24.828583,22.438873,0.006286621,-10.64957330445759,-0.089408875
1990-06-01,1959.3014,293.48575,298.45938,0.2710817,0.102580585,0.16312248,0.43314037,37.278984,37.214737,0.00057037943,-3.816039e-05,148.0319,192.61667,393.94952,385.1578,202.67111,237.03957,23.260866,95.431656,52.590515,-60.983162,-175.06602,204.8127,25.660456,349.96033,276.91135,-286.1206,-264.55698,294.2358,6.601113e-06,4.2383257e-05,17.111383,16.50278250053816,25.309387,20.335754,-12.35437,-92.66664346381731,1.3834
1990-07-01,1177.2854,294.18512,297.4351,0.24310473,0.25304174,0.22068886,0.52567,40.701397,40.588474,0.0027020383,-3.6585956e-05,126.11093,196.43417,398.11346,384.53522,187.65242,241.72609,22.019712,91.493744,43.791462,-56.932407,-161.92609,208.76685,26.491568,357.55493,267.11438,-282.37943,-254.87796,301.16666,3.127196e-05,1.0204227e-05,81.06115,78.1799008109374,24.285095,21.035126,-12.23642,-25.699577643652447,0.14931488
1990-08-01,2345.6216,292.1442,299.35275,0.16422893,0.038697846,0.19573456,0.3395547,34.217247,34.15067,0.0004357059,-3.7009886e-05,170.1569,215.76599,392.41113,383.67615,229.87944,265.7162,26.441307,92.55343,60.229702,-68.81474,-197.1699,227.84846,41.305573,386.98645,277.93115,-288.32413,-293.98636,325.1525,5.0437557e-06,3.878872e-05,13.071177,12.609389159479178,26.202759,18.994202,16.055206,-66.97003283759113,3.0811996
1990-09-01,1537.7739,294.7724,298.66983,0.43797487,0.1937132,0.19365725,0.6111085,42.254475,42.119976,0.0035361724,-4.250317e-05,155.37294,240.53348,404.6719,393.3942,226.49911,290.87692,27.024426,106.292,46.230053,-57.41057,-191.12479,245.6369,37.641693,419.77707,253.85817,-281.91522,-298.40576,352.299,4.092859e-05,1.0877117e-05,106.085175,102.3214736051159,25.519836,21.622406,44.547592,39.6160292691784,0.9610367
1990-10-01,1697.7811,295.35785,299.3431,0.584987,0.1250725,0.18824098,0.68088084,43.89293,43.76669,0.0029104627,-4.6808673e-05,177.62383,266.22797,409.1773,399.8324,248.0689,311.9745,29.914623,117.058464,47.2119,-56.572945,-208.03287,261.91797,41.741383,440.49994,249.5396,-282.6585,-316.94437,370.39062,3.3685545e-05,1.0839556e-05,87.31388,84.21386155532673,26.193115,22.207855,67.40477,32.53904542373493,2.0211258
