time,tp (m),avg_ie (kg m**-2 s**-1),avg_sdirswrf (W m**-2),avg_sdirswrfcs (W m**-2),avg_sdlwrf (W m**-2),avg_sdlwrfcs (W m**-2),avg_sdswrf (W m**-2),avg_sdswrfcs (W m**-2),avg_sduvrf (W m**-2),avg_slhtf (W m**-2),avg_snlwrf (W m**-2),avg_snlwrfcs (W m**-2),avg_snswrf (W m**-2),avg_snswrfcs (W m**-2),avg_ishf (W m**-2),avg_tdswrf (W m**-2),avg_tnlwrf (W m**-2),avg_tnlwrfcs (W m**-2),avg_tnswrf (W m**-2),avg_tnswrfcs (W m**-2),avg_tprate (kg m**-2 s**-1),avg_vimdf (kg m**-2 s**-1)
2020-01-01 06:00:00,0.006292968,-4.237645e-05,140.50287,279.45547,404.28632,386.7325,219.32002,319.51453,27.094065,-105.97491,-41.21834,-58.191086,189.16893,275.68274,-29.141779,444.72156,-232.83595,-275.01,296.41144,380.73773,7.283382e-05,-2.8409811e-05
2020-02-01 06:00:00,0.0074936263,-4.0483355e-05,124.40862,280.0401,406.85428,388.05072,206.19507,320.09323,25.780245,-101.24028,-38.336617,-56.53809,178.17862,276.5234,-27.620434,445.60065,-222.78043,-272.67267,286.56387,382.35596,8.6730186e-05,-4.317819e-05
2020-03-01 06:00:00,0.007001055,-4.0989828e-05,134.01001,271.28088,405.62607,388.34583,211.67679,310.19482,26.226877,-102.50718,-40.803196,-57.523537,183.30177,268.65546,-30.369038,431.56403,-226.55351,-274.28574,287.74716,370.78595,8.1029444e-05,-3.972737e-05
2020-04-01 06:00:00,0.0071528824,-3.865974e-05,124.95661,248.37624,399.21283,381.9793,195.48854,286.04297,24.04578,-96.68011,-42.018097,-58.706757,169.87115,248.87859,-26.132381,400.6523,-231.85397,-274.48163,266.77368,344.1279,8.278631e-05,-4.2550757e-05
2020-05-01 06:00:00,0.006606509,-3.4936893e-05,114.93697,218.75494,391.19022,373.6979,178.2521,257.16684,21.484648,-87.370026,-43.73706,-60.72886,155.19617,224.25793,-22.583836,366.2176,-242.80898,-275.57233,244.92465,312.81525,7.6462085e-05,-3.974995e-05
2020-06-01 06:00:00,0.0046482515,-3.3516484e-05,120.173904,198.39297,386.18652,370.07376,180.02834,239.40318,21.174091,-83.818016,-48.148605,-63.773003,156.80103,208.77509,-24.0259,347.47516,-255.85815,-278.92508,243.61363,294.7393,5.379792e-05,-1.809e-05
2020-07-01 06:00:00,0.0032780247,-3.3672262e-05,137.8146,204.76128,378.32605,363.1644,196.91843,247.19696,22.86371,-84.207535,-55.309837,-70.03668,171.40164,215.49185,-29.9029,355.5532,-264.56055,-282.03134,258.18756,301.4927,3.7939128e-05,-1.2883463e-06
2020-08-01 06:00:00,0.0022872924,-3.410386e-05,156.26674,223.27846,379.42624,365.2089,219.54787,269.5671,25.524942,-85.286896,-59.703262,-73.448524,190.68332,234.50699,-39.52576,384.75903,-268.09323,-284.66864,283.9118,326.83105,2.6472459e-05,5.7211737e-06
2020-09-01 06:00:00,0.0028962877,-3.80391e-05,174.84207,251.32614,387.84772,373.82394,243.20393,297.09058,28.797306,-95.12851,-58.556618,-72.132484,209.99263,257.05,-46.214806,416.9188,-260.69662,-282.67624,309.71603,355.3454,3.352076e-05,7.5237574e-07
2020-10-01 06:00:00,0.0035784133,-4.0003684e-05,176.77492,272.79092,396.2195,381.69388,249.01329,314.98987,30.154425,-100.04161,-53.391743,-67.500755,214.35762,271.72247,-48.74518,437.12805,-248.07695,-278.49564,318.281,373.84802,4.141585e-05,-7.598479e-06
2020-11-01 06:00:00,0.005771718,-4.1049e-05,153.8378,278.24854,395.84134,379.69012,232.90182,319.08487,28.431444,-102.65517,-49.208595,-64.94925,200.16905,274.8112,-36.989723,442.15747,-231.36464,-275.74142,305.12494,377.852,6.680121e-05,-2.8354958e-05
2020-12-01 06:00:00,0.00754392,-4.0305335e-05,133.35767,276.58124,400.36847,381.92953,215.17596,316.8356,26.588404,-100.79527,-41.756813,-59.64828,184.86452,272.4828,-30.442026,441.59808,-221.19507,-270.65024,291.43524,377.03125,8.731328e-05,-4.6617184e-05
2021-01-01 06:00:00,0.0083049275,-4.150995e-05,128.63669,279.42545,400.88028,381.3377,209.91754,319.669,26.053581,-103.808044,-39.273758,-58.179832,180.85094,275.489,-26.240715,444.81647,-222.09402,-269.76773,288.1923,380.49338,9.612123e-05,-5.2545958e-05
2021-02-01 06:00:00,0.008003742,-4.066917e-05,129.89629,280.92676,401.69733,383.15088,210.20096,321.0407,26.154665,-101.705894,-40.42341,-58.37548,181.5738,277.21698,-27.719345,445.59235,-221.30391,-272.13052,288.86856,382.07535,9.263513e-05,-5.2840947e-05
2021-03-01 06:00:00,0.008798494,-3.9844763e-05,119.35408,271.5116,400.04248,380.3327,200.14275,310.71646,24.95167,-99.64371,-39.09071,-58.14323,173.18636,268.92218,-25.845547,431.74365,-216.11127,-270.21234,277.3571,370.6439,0.0001018338,-5.879478e-05
2021-04-01 06:00:00,0.0077250763,-3.8863436e-05,120.075935,248.79674,397.09726,378.7784,194.04936,286.58044,23.88303,-97.18952,-41.082996,-58.844265,168.4847,249.20255,-25.047127,400.9306,-225.88062,-272.7887,265.46555,344.17545,8.940975e-05,-4.8679594e-05
2021-05-01 06:00:00,0.0060368637,-3.5471076e-05,120.80255,219.49455,389.63287,372.48727,184.22514,257.82773,22.178715,-88.706375,-45.18399,-61.787247,160.38081,224.73906,-23.569359,366.44574,-243.20044,-275.4955,249.70256,312.91565,6.9869566e-05,-3.4101944e-05
