time,tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux)
2020-01-01 06:00:00,0.0037365854,-5.1342045e-05,199.69817,313.30975,381.56238,366.4966,280.07214,360.5604,33.302048,-128.39581,-61.454597,-75.88019,242.16557,311.94485,-30.79511,494.91827,-259.6409,-284.48697,355.738,422.94876,4.3246822e-05,1.796507e-05
2020-02-01 06:00:00,0.002424946,-4.9843784e-05,196.84521,285.45575,374.5044,360.8816,267.689,329.73157,31.523243,-124.64876,-65.50455,-78.61502,231.15985,285.313,-34.093796,453.6136,-270.43573,-286.9518,334.61853,386.68774,2.8065851e-05,2.044488e-05
2020-03-01 06:00:00,0.0012872221,-3.867303e-05,178.33902,237.75505,369.94177,357.54684,236.63983,277.74203,27.408495,-96.71347,-70.04327,-81.930916,205.09201,241.15817,-31.051796,386.39807,-272.75467,-287.49506,293.1571,328.12723,1.4897809e-05,1.753494e-05
2020-04-01 06:00:00,0.0018234499,-3.585805e-05,135.40533,186.03871,341.48828,326.53186,183.63335,220.28401,20.61378,-89.67384,-72.026985,-86.52545,159.55243,191.59969,-27.050198,308.62656,-265.08264,-279.59686,228.18336,259.39328,2.1103328e-05,2.0038764e-05
2020-05-01 06:00:00,0.0033261534,-2.843676e-05,100.644844,140.43756,323.6409,307.1438,138.06517,170.46024,15.022987,-71.11474,-70.09206,-86.03937,120.2191,148.32864,-12.418606,244.7312,-255.63918,-272.60614,174.72472,202.98155,3.8497048e-05,-1.3650011e-05
2020-06-01 06:00:00,0.006009409,-2.195935e-05,61.784615,113.93984,338.9277,313.01212,98.70294,143.13533,10.912491,-54.91569,-51.975636,-77.077866,86.03035,124.51558,0.6998785,215.16284,-244.02359,-267.6851,137.81038,176.82048,6.955107e-05,-4.70665e-05
2020-07-01 06:00:00,0.0036326847,-2.6380047e-05,79.79354,125.03073,316.32092,294.0642,119.019325,156.14188,12.846716,-65.97129,-61.99683,-83.538956,103.61219,135.78116,-6.622915,229.51134,-244.09355,-264.9964,156.11069,188.72739,4.2043743e-05,-1.5291955e-05
2020-08-01 06:00:00,0.002412903,-2.6541547e-05,116.9018,161.81613,320.9903,304.32578,162.62009,197.68533,17.750738,-66.37494,-67.404884,-83.392975,141.65349,172.12675,-8.248468,282.84885,-253.38005,-270.0371,205.73009,235.68765,2.792579e-05,-8.584722e-06
2020-09-01 06:00:00,0.0039901473,-3.3431657e-05,129.62834,211.8518,340.46048,318.01514,190.84059,253.62872,21.737675,-83.605385,-59.071316,-80.76737,166.58958,221.86996,-17.808863,356.06516,-243.9826,-270.709,247.62585,301.4518,4.6181667e-05,-2.190807e-05
2020-10-01 06:00:00,0.002942934,-4.022784e-05,172.23077,268.83328,350.67245,330.74792,244.01929,312.6017,28.378788,-100.60178,-63.95644,-83.27209,212.53867,273.169,-30.58685,428.15982,-254.54614,-277.1071,308.8964,366.08615,3.406192e-05,1.0923408e-05
