date;Tmax;Tmin;Ta;pa;HR;prec;Ki;Ki-dif;Rn;Hc1;LEc1;G;vento;direcao;FC_diurno;FC_noturno;NEE;NEE_diu;NEE_not;prec_p;prec_era;udir_p;Ta_era;HR_era;e_era;vento_era;udir_era;pa_era;Ki_era
02/01/2002;29.02;23.58;NA;NA;84.01;0;NA;NA;NA;NA;NA;NA;NA;NA;-3.55;1.33;NA;-2.12;3.4;0;7.24;89.74;26.17;84.01;28.3;1.59;-18.42;992.49;270.99
03/01/2002;26.39;23.55;23.32;978.18;92.47;25.39;35.96;34.86;NA;NA;NA;NA;NA;NA;-1.76;2.84;NA;1.14;3.98;25.39;1;65.49;24.64;92.47;28.65;1.18;0.02;993.48;290.01
04/01/2002;26.74;23.33;24.56;978.48;91.41;0;102.89;89.79;NA;NA;NA;NA;NA;NA;-3.12;3.81;0.57;-5.42;6.56;0;0.88;64.08;24.91;91.41;28.76;0.91;-33.96;993.66;279.16
05/01/2002;28.16;23.19;24.73;978.37;89.52;5.08;132.62;93.89;NA;NA;NA;NA;NA;NA;-5.52;4.79;-0.43;-7.51;6.66;5.08;9.52;107;25.05;89.52;28.34;1.34;23.67;994.19;260.44
06/01/2002;27.64;23.3;23.1;977;91.19;4.32;60.3;58.27;NA;NA;NA;NA;NA;NA;-0.82;6.73;NA;-1.22;6.98;4.32;7.17;129.11;24.98;91.19;NA;1.51;50.54;993.68;283.71
07/01/2002;27.54;23.63;23.33;976.91;87.33;8.63;94.99;81.09;NA;NA;NA;NA;NA;NA;-4.46;6.43;NA;-5.65;5.74;8.63;4.94;87.44;25.44;87.33;28.33;2.05;50.89;992.78;294.09
08/01/2002;25.42;23.09;22.72;976.9;93.32;15.48;127.17;90.34;NA;NA;NA;NA;NA;NA;-9.71;3.99;NA;-9.76;4.76;15.48;22.46;82.75;24.09;93.32;28;1.24;21.33;993.1;203.6
09/01/2002;29.11;22.33;25.36;976.56;81.18;0.25;192.2;93.13;NA;NA;NA;NA;NA;NA;-5.75;4.3;NA;-5.28;6.99;0.25;9.02;72.44;25.91;81.18;26.86;1.79;-5.2;992.83;170.61
10/01/2002;27.39;23.44;NA;975.84;83.88;5.59;NA;NA;NA;NA;NA;NA;NA;NA;-7.99;10.69;NA;-10.38;11.59;5.59;0.01;73.4;25.46;83.88;27.21;1.88;18.9;993.26;228.94
11/01/2002;28.7;24.1;NA;975.2;80.11;0;NA;NA;NA;NA;NA;NA;NA;NA;-7.57;6.02;NA;-5.43;7.64;0;1.09;70.18;26.11;80.11;27.05;1.61;-17.34;993.99;173.54
12/01/2002;29.67;23.29;24.46;975.46;83.98;8.62;182.14;82.09;NA;NA;NA;NA;NA;NA;-4.31;7.5;1.98;-6.41;9.32;8.62;5.26;88.14;25.91;83.98;27.88;1.8;12.51;993.86;129.84
13/01/2002;27.98;23.1;24.35;975.72;85.87;25.15;114.5;78.14;NA;NA;NA;NA;NA;NA;-3.19;5.71;2.43;-3.34;7.48;25.15;20.24;141.36;25.36;85.87;27.67;1.86;20.83;993.45;82.73
14/01/2002;28.5;22.92;24.38;976.28;85.7;7.62;168.6;93.98;NA;NA;NA;NA;NA;NA;-4.9;7.27;2.47;-5.64;9.57;7.62;12.57;142.22;25.35;85.7;27.62;1.72;54.55;993.65;167.22
15/01/2002;28.22;22.56;23.42;976.78;89.76;10.92;113.39;94.29;NA;NA;NA;NA;NA;NA;-4.51;4.38;NA;-5.91;5.27;10.92;10.09;78.15;24.66;89.76;27.65;0.95;-25.04;992.69;194.09
16/01/2002;27.67;23.3;22.34;976.49;89.08;59.94;36.59;35.43;NA;NA;NA;NA;NA;NA;1.13;-0.03;NA;3.47;4.78;59.94;3.81;84.44;25.2;89.08;28.49;0.91;5.94;991.67;116.03
